"Moto","Encontrada","Pagina","Imagem","Fonte"
"Honda CG 160 Titan","sim","Honda","https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Toranomon_Alcea_Tower_At_Day.jpg/330px-Toranomon_Alcea_Tower_At_Day.jpg","Wikipedia"
"Honda CG 160 Fan","sim","Flexible-fuel vehicles in Brazil","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Four_Brazilian_full_flex-fuel_automoviles_05_2008.jpg/330px-Four_Brazilian_full_flex-fuel_automoviles_05_2008.jpg","Wikipedia"
"Honda CG 160 Start","sim","Honda","https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Toranomon_Alcea_Tower_At_Day.jpg/330px-Toranomon_Alcea_Tower_At_Day.jpg","Wikipedia"
"Honda CG 125","sim","Honda CG125","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/%E3%83%9B%E3%83%B3%E3%83%80_CG125.jpg/330px-%E3%83%9B%E3%83%B3%E3%83%80_CG125.jpg","Wikipedia"
"Honda Biz 125","sim","Honda Biz","https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Honda_BIZ_flex_12_2013_MGF_01.jpg/330px-Honda_BIZ_flex_12_2013_MGF_01.jpg","Wikipedia"
"Honda Pop 110i","sim","List of Honda motorcycles","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Honda_Logo.svg/330px-Honda_Logo.svg.png","Wikipedia"
"Honda XRE 300","sim","Honda XRE300","https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Honda_XRE300_ano2010.jpg/330px-Honda_XRE300_ano2010.jpg","Wikipedia"
"Honda Bros 160","sim","Honda CB series","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/CB350F.jpg/330px-CB350F.jpg","Wikipedia"
"Honda CB 300F","sim","Honda CRF series","https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/2010_Honda_CRF250R_at_the_2009_Seattle_International_Motorcycle_Show_2.jpg/330px-2010_Honda_CRF250R_at_the_2009_Seattle_International_Motorcycle_Show_2.jpg","Wikipedia"
"Honda Twister 250","sim","Honda CB series","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/CB350F.jpg/330px-CB350F.jpg","Wikipedia"
"Yamaha Fazer 250","sim","Yamaha FZS600 Fazer","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/FazerFZS600.jpg/330px-FazerFZS600.jpg","Wikipedia"
"Yamaha Lander 250","sim","Yamaha XTZ 250","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/XTZ250Tenere.jpg/330px-XTZ250Tenere.jpg","Wikipedia"
"Yamaha XTZ 150","sim","Yamaha Ténéré 700","https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Tenere_700.jpg/330px-Tenere_700.jpg","Wikipedia"
"Yamaha Factor 150","sim","Grand Prix motorcycle racing","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Marc_M%C3%A1rquez_at_the_pit_lane_during_the_2025_Italian_motorcycle_Grand_Prix_%28front_view%2C_cropped%29.jpg/330px-Marc_M%C3%A1rquez_at_the_pit_lane_during_the_2025_Italian_motorcycle_Grand_Prix_%28front_view%2C_cropped%29.jpg","Wikipedia"
"Yamaha MT-03","sim","Yamaha MT-03","https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/YAMAHA_MT-03_at_the_Tokyo_Motor_Show_2015.jpg/330px-YAMAHA_MT-03_at_the_Tokyo_Motor_Show_2015.jpg","Wikipedia"
"Yamaha R3","sim","Yamaha YZF-R3","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/YZF-R3_2019_v3.jpg/330px-YZF-R3_2019_v3.jpg","Wikipedia"
"Yamaha XT 660","sim","Yamaha XT660R","https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Yamaha_XT_660_%282622181655%29.jpg/330px-Yamaha_XT_660_%282622181655%29.jpg","Wikipedia"
"Yamaha NMAX 160","sim","Yamaha NMAX","https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Yamaha_nmax_cpd150_YCP.JPG/330px-Yamaha_nmax_cpd150_YCP.JPG","Wikipedia"
"Yamaha Neo 125","sim","Yamaha XSR900","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Yamaha_XSR_900_2018.jpg/330px-Yamaha_XSR_900_2018.jpg","Wikipedia"
"Yamaha Crosser 150","sim","Yamaha YZF-R1","https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/2015_Yamaha_YZF-R1_crop.JPG/330px-2015_Yamaha_YZF-R1_crop.JPG","Wikipedia"
"Dafra NH 190","sim","Sanyang Motor","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/SYM_logo_of_Sanyang_Motor_20180408.svg/330px-SYM_logo_of_Sanyang_Motor_20180408.svg.png","Wikipedia"
"Dafra Apache RTR 200","nao","","",""
"Dafra Next 250","sim","General Motors do Brasil","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/General_Motors_%282021%29.svg/330px-General_Motors_%282021%29.svg.png","Wikipedia"
"Haojue DK 150","nao","","",""
"Haojue DR 160","sim","Suzuki","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Suzuki_logo_2025_%28vertical%29.svg/330px-Suzuki_logo_2025_%28vertical%29.svg.png","Wikipedia"
"Haojue NK 150","nao","","",""
"Shineray XY 150","nao","","",""
"Shineray Jet 125","nao","","",""
"Sundown Max 125","sim","Kings of Leon discography","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Kings_of_leon.JPG/330px-Kings_of_leon.JPG","Wikipedia"
"Traxx Star 50","sim","Selangor","https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Selangor_in_Malaysia.svg/330px-Selangor_in_Malaysia.svg.png","Wikipedia"
